Data,Set Size,Individual MSE,number of random models,Method,MSE
Folk_Income_Data,9,"[0.25, 0.1421, 0.1333, 0.1335, 0.1655, 0.1814, 0.1463, 0.1449, 0.242]",1,random_selection,0.25
Folk_Income_Data,9,"[0.25, 0.1421, 0.1333, 0.1335, 0.1655, 0.1814, 0.1463, 0.1449, 0.242]",1,sequential reconcile,0.141
Folk_Income_Data,9,"[0.25, 0.25, 0.1333, 0.1335, 0.1655, 0.1814, 0.1463, 0.1449, 0.242]",2,mode,0.235
Folk_Income_Data,9,"[0.25, 0.25, 0.1333, 0.1335, 0.1655, 0.1814, 0.1463, 0.1449, 0.242]",2,randomized,0.183
Folk_Income_Data,9,"[0.25, 0.25, 0.1333, 0.1335, 0.1655, 0.1814, 0.1463, 0.1449, 0.242]",2,random_selection,0.25
Folk_Income_Data,9,"[0.25, 0.25, 0.1333, 0.1335, 0.1655, 0.1814, 0.1463, 0.1449, 0.242]",2,sequential reconcile,0.142
Folk_Income_Data,9,"[0.25, 0.25, 0.1333, 0.1335, 0.1655, 0.1814, 0.25, 0.1449, 0.242]",3,mode,0.25
Folk_Income_Data,9,"[0.25, 0.25, 0.1333, 0.1335, 0.1655, 0.1814, 0.25, 0.1449, 0.242]",3,randomized,0.194
Folk_Income_Data,9,"[0.25, 0.25, 0.1333, 0.1335, 0.1655, 0.1814, 0.25, 0.1449, 0.242]",3,random_selection,0.242
Folk_Income_Data,9,"[0.25, 0.25, 0.1333, 0.1335, 0.1655, 0.1814, 0.25, 0.1449, 0.242]",3,sequential reconcile,0.133
Folk_Income_Data,9,"[0.25, 0.25, 0.1333, 0.1335, 0.1655, 0.1814, 0.25, 0.25, 0.242]",4,mode,0.25
Folk_Income_Data,9,"[0.25, 0.25, 0.1333, 0.1335, 0.1655, 0.1814, 0.25, 0.25, 0.242]",4,randomized,0.206
Folk_Income_Data,9,"[0.25, 0.25, 0.1333, 0.1335, 0.1655, 0.1814, 0.25, 0.25, 0.242]",4,random_selection,0.133
Folk_Income_Data,9,"[0.25, 0.25, 0.1333, 0.1335, 0.1655, 0.1814, 0.25, 0.25, 0.242]",4,sequential reconcile,0.151
Folk_Income_Data,9,"[0.25, 0.25, 0.1333, 0.25, 0.1655, 0.1814, 0.25, 0.25, 0.242]",5,mode,0.25
Folk_Income_Data,9,"[0.25, 0.25, 0.1333, 0.25, 0.1655, 0.1814, 0.25, 0.25, 0.242]",5,randomized,0.219
Folk_Income_Data,9,"[0.25, 0.25, 0.1333, 0.25, 0.1655, 0.1814, 0.25, 0.25, 0.242]",5,random_selection,0.25
Folk_Income_Data,9,"[0.25, 0.25, 0.1333, 0.25, 0.1655, 0.1814, 0.25, 0.25, 0.242]",5,sequential reconcile,0.143
Folk_Income_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.1655, 0.1814, 0.25, 0.25, 0.242]",6,mode,0.25
Folk_Income_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.1655, 0.1814, 0.25, 0.25, 0.242]",6,randomized,0.232
Folk_Income_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.1655, 0.1814, 0.25, 0.25, 0.242]",6,random_selection,0.165
Folk_Income_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.1655, 0.1814, 0.25, 0.25, 0.242]",6,sequential reconcile,0.174
Folk_Income_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.1814, 0.25, 0.25, 0.242]",7,mode,0.25
Folk_Income_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.1814, 0.25, 0.25, 0.242]",7,randomized,0.242
Folk_Income_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.1814, 0.25, 0.25, 0.242]",7,random_selection,0.25
Folk_Income_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.1814, 0.25, 0.25, 0.242]",7,sequential reconcile,0.174
Folk_Income_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.1814, 0.25, 0.25, 0.25]",8,mode,0.25
Folk_Income_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.1814, 0.25, 0.25, 0.25]",8,randomized,0.243
Folk_Income_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.1814, 0.25, 0.25, 0.25]",8,random_selection,0.25
Folk_Income_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.1814, 0.25, 0.25, 0.25]",8,sequential reconcile,0.174
Folk_Income_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,mode,0.25
