Data,Set Size,Individual MSE,number of random models,Method,MSE
Communities_Data,11,"[0.0237, 0.0235, 0.2219, 0.2208, 0.2033, 0.1976, 0.2175, 0.1977, 0.1957, 0.1848, 0.2048]",9,mean,0.094
Communities_Data,11,"[0.0237, 0.0235, 0.2219, 0.2208, 0.2033, 0.1976, 0.2175, 0.1977, 0.1957, 0.1848, 0.2048]",9,randomized,0.176
Communities_Data,11,"[0.0237, 0.0235, 0.2219, 0.2208, 0.2033, 0.1976, 0.2175, 0.1977, 0.1957, 0.1848, 0.2048]",9,random_selection,0.202
Communities_Data,11,"[0.0237, 0.0235, 0.2219, 0.2208, 0.2033, 0.1976, 0.2175, 0.1977, 0.1957, 0.1848, 0.2048]",9,sequential reconcile,0.064
Communities_Data,11,"[0.2257, 0.0235, 0.206, 0.1984, 0.1928, 0.221, 0.1974, 0.2246, 0.2142, 0.204, 0.2158]",10,mean,0.111
Communities_Data,11,"[0.2257, 0.0235, 0.206, 0.1984, 0.1928, 0.221, 0.1974, 0.2246, 0.2142, 0.204, 0.2158]",10,randomized,0.193
Communities_Data,11,"[0.2257, 0.0235, 0.206, 0.1984, 0.1928, 0.221, 0.1974, 0.2246, 0.2142, 0.204, 0.2158]",10,random_selection,0.195
Communities_Data,11,"[0.2257, 0.0235, 0.206, 0.1984, 0.1928, 0.221, 0.1974, 0.2246, 0.2142, 0.204, 0.2158]",10,sequential reconcile,0.054
Communities_Data,11,"[0.2127, 0.1993, 0.2131, 0.2249, 0.1913, 0.2138, 0.2141, 0.1961, 0.2181, 0.2041, 0.2314]",11,mean,0.131
Communities_Data,11,"[0.2127, 0.1993, 0.2131, 0.2249, 0.1913, 0.2138, 0.2141, 0.1961, 0.2181, 0.2041, 0.2314]",11,randomized,0.211
Communities_Data,11,"[0.2127, 0.1993, 0.2131, 0.2249, 0.1913, 0.2138, 0.2141, 0.1961, 0.2181, 0.2041, 0.2314]",11,random_selection,0.193
Communities_Data,11,"[0.2127, 0.1993, 0.2131, 0.2249, 0.1913, 0.2138, 0.2141, 0.1961, 0.2181, 0.2041, 0.2314]",11,sequential reconcile,0.071
Compas_Data,9,"[0.2263, 0.2165, 0.2075, 0.2074, 0.2395, 0.2297, 0.2057, 0.2476, 0.243]",0,mode,0.235
Compas_Data,9,"[0.2263, 0.2165, 0.2075, 0.2074, 0.2395, 0.2297, 0.2057, 0.2476, 0.243]",0,randomized,0.223
Compas_Data,9,"[0.2263, 0.2165, 0.2075, 0.2074, 0.2395, 0.2297, 0.2057, 0.2476, 0.243]",0,random_selection,0.243
Compas_Data,9,"[0.2263, 0.2165, 0.2075, 0.2074, 0.2395, 0.2297, 0.2057, 0.2476, 0.243]",0,sequential reconcile,0.215
Compas_Data,9,"[0.2263, 0.2165, 0.2075, 0.2074, 0.25, 0.2297, 0.2057, 0.2476, 0.243]",1,mode,0.227
Compas_Data,9,"[0.2263, 0.2165, 0.2075, 0.2074, 0.25, 0.2297, 0.2057, 0.2476, 0.243]",1,randomized,0.225
Compas_Data,9,"[0.2263, 0.2165, 0.2075, 0.2074, 0.25, 0.2297, 0.2057, 0.2476, 0.243]",1,random_selection,0.216
Compas_Data,9,"[0.2263, 0.2165, 0.2075, 0.2074, 0.25, 0.2297, 0.2057, 0.2476, 0.243]",1,sequential reconcile,0.207
Compas_Data,9,"[0.2263, 0.2165, 0.2075, 0.2074, 0.25, 0.2297, 0.2057, 0.25, 0.243]",2,mode,0.247
Compas_Data,9,"[0.2263, 0.2165, 0.2075, 0.2074, 0.25, 0.2297, 0.2057, 0.25, 0.243]",2,randomized,0.235
Compas_Data,9,"[0.2263, 0.2165, 0.2075, 0.2074, 0.25, 0.2297, 0.2057, 0.25, 0.243]",2,random_selection,0.25
Compas_Data,9,"[0.2263, 0.2165, 0.2075, 0.2074, 0.25, 0.2297, 0.2057, 0.25, 0.243]",2,sequential reconcile,0.218
Compas_Data,9,"[0.25, 0.2165, 0.2075, 0.2074, 0.25, 0.2297, 0.2057, 0.25, 0.243]",3,mode,0.25
Compas_Data,9,"[0.25, 0.2165, 0.2075, 0.2074, 0.25, 0.2297, 0.2057, 0.25, 0.243]",3,randomized,0.227
Compas_Data,9,"[0.25, 0.2165, 0.2075, 0.2074, 0.25, 0.2297, 0.2057, 0.25, 0.243]",3,random_selection,0.216
Compas_Data,9,"[0.25, 0.2165, 0.2075, 0.2074, 0.25, 0.2297, 0.2057, 0.25, 0.243]",3,sequential reconcile,0.206
Compas_Data,9,"[0.25, 0.2165, 0.2075, 0.2074, 0.25, 0.2297, 0.2057, 0.25, 0.25]",4,mode,0.25
Compas_Data,9,"[0.25, 0.2165, 0.2075, 0.2074, 0.25, 0.2297, 0.2057, 0.25, 0.25]",4,randomized,0.229
Compas_Data,9,"[0.25, 0.2165, 0.2075, 0.2074, 0.25, 0.2297, 0.2057, 0.25, 0.25]",4,random_selection,0.25
Compas_Data,9,"[0.25, 0.2165, 0.2075, 0.2074, 0.25, 0.2297, 0.2057, 0.25, 0.25]",4,sequential reconcile,0.207
Compas_Data,9,"[0.25, 0.2165, 0.2075, 0.2074, 0.25, 0.25, 0.2057, 0.25, 0.25]",5,mode,0.25
Compas_Data,9,"[0.25, 0.2165, 0.2075, 0.2074, 0.25, 0.25, 0.2057, 0.25, 0.25]",5,randomized,0.234
Compas_Data,9,"[0.25, 0.2165, 0.2075, 0.2074, 0.25, 0.25, 0.2057, 0.25, 0.25]",5,random_selection,0.25
Compas_Data,9,"[0.25, 0.2165, 0.2075, 0.2074, 0.25, 0.25, 0.2057, 0.25, 0.25]",5,sequential reconcile,0.207
Compas_Data,9,"[0.25, 0.25, 0.2075, 0.2074, 0.25, 0.25, 0.2057, 0.25, 0.25]",6,mode,0.25
Compas_Data,9,"[0.25, 0.25, 0.2075, 0.2074, 0.25, 0.25, 0.2057, 0.25, 0.25]",6,randomized,0.235
Compas_Data,9,"[0.25, 0.25, 0.2075, 0.2074, 0.25, 0.25, 0.2057, 0.25, 0.25]",6,random_selection,0.25
Compas_Data,9,"[0.25, 0.25, 0.2075, 0.2074, 0.25, 0.25, 0.2057, 0.25, 0.25]",6,sequential reconcile,0.206
Compas_Data,9,"[0.25, 0.25, 0.2075, 0.25, 0.25, 0.25, 0.2057, 0.25, 0.25]",7,mode,0.25
Compas_Data,9,"[0.25, 0.25, 0.2075, 0.25, 0.25, 0.25, 0.2057, 0.25, 0.25]",7,randomized,0.239
Compas_Data,9,"[0.25, 0.25, 0.2075, 0.25, 0.25, 0.25, 0.2057, 0.25, 0.25]",7,random_selection,0.206
Compas_Data,9,"[0.25, 0.25, 0.2075, 0.25, 0.25, 0.25, 0.2057, 0.25, 0.25]",7,sequential reconcile,0.218
Compas_Data,9,"[0.25, 0.25, 0.2075, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,mode,0.25
Compas_Data,9,"[0.25, 0.25, 0.2075, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,randomized,0.243
Compas_Data,9,"[0.25, 0.25, 0.2075, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,random_selection,0.25
Compas_Data,9,"[0.25, 0.25, 0.2075, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,sequential reconcile,0.218
Compas_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,mode,0.25
Compas_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,randomized,0.25
Compas_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,random_selection,0.25
Compas_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,sequential reconcile,0.25
Adult_Data,9,"[0.1265, 0.1166, 0.1089, 0.109, 0.1382, 0.1506, 0.1259, 0.1093, 0.2379]",0,mode,0.132
Adult_Data,9,"[0.1265, 0.1166, 0.1089, 0.109, 0.1382, 0.1506, 0.1259, 0.1093, 0.2379]",0,randomized,0.135
Adult_Data,9,"[0.1265, 0.1166, 0.1089, 0.109, 0.1382, 0.1506, 0.1259, 0.1093, 0.2379]",0,random_selection,0.109
Adult_Data,9,"[0.1265, 0.1166, 0.1089, 0.109, 0.1382, 0.1506, 0.1259, 0.1093, 0.2379]",0,sequential reconcile,0.117
Adult_Data,9,"[0.1265, 0.1166, 0.1089, 0.109, 0.1382, 0.25, 0.1259, 0.1093, 0.2379]",1,mode,0.127
Adult_Data,9,"[0.1265, 0.1166, 0.1089, 0.109, 0.1382, 0.25, 0.1259, 0.1093, 0.2379]",1,randomized,0.149
Adult_Data,9,"[0.1265, 0.1166, 0.1089, 0.109, 0.1382, 0.25, 0.1259, 0.1093, 0.2379]",1,random_selection,0.109
Adult_Data,9,"[0.1265, 0.1166, 0.1089, 0.109, 0.1382, 0.25, 0.1259, 0.1093, 0.2379]",1,sequential reconcile,0.12
Adult_Data,9,"[0.1265, 0.1166, 0.25, 0.109, 0.1382, 0.25, 0.1259, 0.1093, 0.2379]",2,mode,0.194
Adult_Data,9,"[0.1265, 0.1166, 0.25, 0.109, 0.1382, 0.25, 0.1259, 0.1093, 0.2379]",2,randomized,0.163
Adult_Data,9,"[0.1265, 0.1166, 0.25, 0.109, 0.1382, 0.25, 0.1259, 0.1093, 0.2379]",2,random_selection,0.25
Adult_Data,9,"[0.1265, 0.1166, 0.25, 0.109, 0.1382, 0.25, 0.1259, 0.1093, 0.2379]",2,sequential reconcile,0.109
Adult_Data,9,"[0.1265, 0.1166, 0.25, 0.109, 0.1382, 0.25, 0.25, 0.1093, 0.2379]",3,mode,0.25
Adult_Data,9,"[0.1265, 0.1166, 0.25, 0.109, 0.1382, 0.25, 0.25, 0.1093, 0.2379]",3,randomized,0.175
Adult_Data,9,"[0.1265, 0.1166, 0.25, 0.109, 0.1382, 0.25, 0.25, 0.1093, 0.2379]",3,random_selection,0.117
Adult_Data,9,"[0.1265, 0.1166, 0.25, 0.109, 0.1382, 0.25, 0.25, 0.1093, 0.2379]",3,sequential reconcile,0.109
Adult_Data,9,"[0.25, 0.1166, 0.25, 0.109, 0.1382, 0.25, 0.25, 0.1093, 0.2379]",4,mode,0.25
Adult_Data,9,"[0.25, 0.1166, 0.25, 0.109, 0.1382, 0.25, 0.25, 0.1093, 0.2379]",4,randomized,0.19
Adult_Data,9,"[0.25, 0.1166, 0.25, 0.109, 0.1382, 0.25, 0.25, 0.1093, 0.2379]",4,random_selection,0.25
Adult_Data,9,"[0.25, 0.1166, 0.25, 0.109, 0.1382, 0.25, 0.25, 0.1093, 0.2379]",4,sequential reconcile,0.12
Adult_Data,9,"[0.25, 0.25, 0.25, 0.109, 0.1382, 0.25, 0.25, 0.1093, 0.2379]",5,mode,0.25
Adult_Data,9,"[0.25, 0.25, 0.25, 0.109, 0.1382, 0.25, 0.25, 0.1093, 0.2379]",5,randomized,0.206
Adult_Data,9,"[0.25, 0.25, 0.25, 0.109, 0.1382, 0.25, 0.25, 0.1093, 0.2379]",5,random_selection,0.25
Adult_Data,9,"[0.25, 0.25, 0.25, 0.109, 0.1382, 0.25, 0.25, 0.1093, 0.2379]",5,sequential reconcile,0.122
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.1382, 0.25, 0.25, 0.1093, 0.2379]",6,mode,0.25
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.1382, 0.25, 0.25, 0.1093, 0.2379]",6,randomized,0.225
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.1382, 0.25, 0.25, 0.1093, 0.2379]",6,random_selection,0.25
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.1382, 0.25, 0.25, 0.1093, 0.2379]",6,sequential reconcile,0.109
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.1382, 0.25, 0.25, 0.1093, 0.25]",7,mode,0.25
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.1382, 0.25, 0.25, 0.1093, 0.25]",7,randomized,0.22
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.1382, 0.25, 0.25, 0.1093, 0.25]",7,random_selection,0.25
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.1382, 0.25, 0.25, 0.1093, 0.25]",7,sequential reconcile,0.115
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.1382, 0.25, 0.25, 0.25, 0.25]",8,mode,0.25
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.1382, 0.25, 0.25, 0.25, 0.25]",8,randomized,0.238
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.1382, 0.25, 0.25, 0.25, 0.25]",8,random_selection,0.25
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.1382, 0.25, 0.25, 0.25, 0.25]",8,sequential reconcile,0.138
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,mode,0.25
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,randomized,0.25
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,random_selection,0.25
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,sequential reconcile,0.25
German_Data,8,"[0.1554, 0.1557, 0.1616, 0.1555, 0.1596, 0.1601, 0.2445, 0.2014]",0,mode,0.155
German_Data,8,"[0.1554, 0.1557, 0.1616, 0.1555, 0.1596, 0.1601, 0.2445, 0.2014]",0,randomized,0.172
German_Data,8,"[0.1554, 0.1557, 0.1616, 0.1555, 0.1596, 0.1601, 0.2445, 0.2014]",0,random_selection,0.16
German_Data,8,"[0.1554, 0.1557, 0.1616, 0.1555, 0.1596, 0.1601, 0.2445, 0.2014]",0,sequential reconcile,0.162
German_Data,8,"[0.1554, 0.1557, 0.1616, 0.1555, 0.1596, 0.25, 0.2445, 0.2014]",1,mode,0.155
German_Data,8,"[0.1554, 0.1557, 0.1616, 0.1555, 0.1596, 0.25, 0.2445, 0.2014]",1,randomized,0.183
German_Data,8,"[0.1554, 0.1557, 0.1616, 0.1555, 0.1596, 0.25, 0.2445, 0.2014]",1,random_selection,0.25
German_Data,8,"[0.1554, 0.1557, 0.1616, 0.1555, 0.1596, 0.25, 0.2445, 0.2014]",1,sequential reconcile,0.177
German_Data,8,"[0.1554, 0.25, 0.1616, 0.1555, 0.1596, 0.25, 0.2445, 0.2014]",2,mode,0.249
German_Data,8,"[0.1554, 0.25, 0.1616, 0.1555, 0.1596, 0.25, 0.2445, 0.2014]",2,randomized,0.199
German_Data,8,"[0.1554, 0.25, 0.1616, 0.1555, 0.1596, 0.25, 0.2445, 0.2014]",2,random_selection,0.25
German_Data,8,"[0.1554, 0.25, 0.1616, 0.1555, 0.1596, 0.25, 0.2445, 0.2014]",2,sequential reconcile,0.152
German_Data,8,"[0.1554, 0.25, 0.25, 0.1555, 0.1596, 0.25, 0.2445, 0.2014]",3,mode,0.25
German_Data,8,"[0.1554, 0.25, 0.25, 0.1555, 0.1596, 0.25, 0.2445, 0.2014]",3,randomized,0.208
German_Data,8,"[0.1554, 0.25, 0.25, 0.1555, 0.1596, 0.25, 0.2445, 0.2014]",3,random_selection,0.16
German_Data,8,"[0.1554, 0.25, 0.25, 0.1555, 0.1596, 0.25, 0.2445, 0.2014]",3,sequential reconcile,0.166
German_Data,8,"[0.1554, 0.25, 0.25, 0.1555, 0.25, 0.25, 0.2445, 0.2014]",4,mode,0.25
German_Data,8,"[0.1554, 0.25, 0.25, 0.1555, 0.25, 0.25, 0.2445, 0.2014]",4,randomized,0.212
German_Data,8,"[0.1554, 0.25, 0.25, 0.1555, 0.25, 0.25, 0.2445, 0.2014]",4,random_selection,0.25
German_Data,8,"[0.1554, 0.25, 0.25, 0.1555, 0.25, 0.25, 0.2445, 0.2014]",4,sequential reconcile,0.187
German_Data,8,"[0.1554, 0.25, 0.25, 0.25, 0.25, 0.25, 0.2445, 0.2014]",5,mode,0.25
German_Data,8,"[0.1554, 0.25, 0.25, 0.25, 0.25, 0.25, 0.2445, 0.2014]",5,randomized,0.225
German_Data,8,"[0.1554, 0.25, 0.25, 0.25, 0.25, 0.25, 0.2445, 0.2014]",5,random_selection,0.25
German_Data,8,"[0.1554, 0.25, 0.25, 0.25, 0.25, 0.25, 0.2445, 0.2014]",5,sequential reconcile,0.159
German_Data,8,"[0.1554, 0.25, 0.25, 0.25, 0.25, 0.25, 0.2445, 0.25]",6,mode,0.25
German_Data,8,"[0.1554, 0.25, 0.25, 0.25, 0.25, 0.25, 0.2445, 0.25]",6,randomized,0.232
German_Data,8,"[0.1554, 0.25, 0.25, 0.25, 0.25, 0.25, 0.2445, 0.25]",6,random_selection,0.25
German_Data,8,"[0.1554, 0.25, 0.25, 0.25, 0.25, 0.25, 0.2445, 0.25]",6,sequential reconcile,0.165
German_Data,8,"[0.1554, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",7,mode,0.25
German_Data,8,"[0.1554, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",7,randomized,0.238
German_Data,8,"[0.1554, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",7,random_selection,0.25
German_Data,8,"[0.1554, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",7,sequential reconcile,0.164
German_Data,8,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,mode,0.25
German_Data,8,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,randomized,0.25
German_Data,8,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,random_selection,0.25
German_Data,8,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,sequential reconcile,0.25
Folk_Income_Data,9,"[0.1382, 0.144, 0.1347, 0.1349, 0.1653, 0.1811, 0.1509, 0.1454, 0.242]",0,mode,0.148
Folk_Income_Data,9,"[0.1382, 0.144, 0.1347, 0.1349, 0.1653, 0.1811, 0.1509, 0.1454, 0.242]",0,randomized,0.159
Folk_Income_Data,9,"[0.1382, 0.144, 0.1347, 0.1349, 0.1653, 0.1811, 0.1509, 0.1454, 0.242]",0,random_selection,0.144
Folk_Income_Data,9,"[0.1382, 0.144, 0.1347, 0.1349, 0.1653, 0.1811, 0.1509, 0.1454, 0.242]",0,sequential reconcile,0.152
Folk_Income_Data,9,"[0.1382, 0.144, 0.1347, 0.1349, 0.1653, 0.1811, 0.1509, 0.1454, 0.25]",1,mode,0.148
Folk_Income_Data,9,"[0.1382, 0.144, 0.1347, 0.1349, 0.1653, 0.1811, 0.1509, 0.1454, 0.25]",1,randomized,0.159
Folk_Income_Data,9,"[0.1382, 0.144, 0.1347, 0.1349, 0.1653, 0.1811, 0.1509, 0.1454, 0.25]",1,random_selection,0.151
Folk_Income_Data,9,"[0.1382, 0.144, 0.1347, 0.1349, 0.1653, 0.1811, 0.1509, 0.1454, 0.25]",1,sequential reconcile,0.143
Folk_Income_Data,9,"[0.1382, 0.144, 0.1347, 0.1349, 0.1653, 0.1811, 0.25, 0.1454, 0.25]",2,mode,0.185
Folk_Income_Data,9,"[0.1382, 0.144, 0.1347, 0.1349, 0.1653, 0.1811, 0.25, 0.1454, 0.25]",2,randomized,0.172
Folk_Income_Data,9,"[0.1382, 0.144, 0.1347, 0.1349, 0.1653, 0.1811, 0.25, 0.1454, 0.25]",2,random_selection,0.181
Folk_Income_Data,9,"[0.1382, 0.144, 0.1347, 0.1349, 0.1653, 0.1811, 0.25, 0.1454, 0.25]",2,sequential reconcile,0.151
Folk_Income_Data,9,"[0.1382, 0.144, 0.1347, 0.25, 0.1653, 0.1811, 0.25, 0.1454, 0.25]",3,mode,0.228
Folk_Income_Data,9,"[0.1382, 0.144, 0.1347, 0.25, 0.1653, 0.1811, 0.25, 0.1454, 0.25]",3,randomized,0.184
Folk_Income_Data,9,"[0.1382, 0.144, 0.1347, 0.25, 0.1653, 0.1811, 0.25, 0.1454, 0.25]",3,random_selection,0.25
Folk_Income_Data,9,"[0.1382, 0.144, 0.1347, 0.25, 0.1653, 0.1811, 0.25, 0.1454, 0.25]",3,sequential reconcile,0.151
Folk_Income_Data,9,"[0.1382, 0.25, 0.1347, 0.25, 0.1653, 0.1811, 0.25, 0.1454, 0.25]",4,mode,0.25
Folk_Income_Data,9,"[0.1382, 0.25, 0.1347, 0.25, 0.1653, 0.1811, 0.25, 0.1454, 0.25]",4,randomized,0.195
Folk_Income_Data,9,"[0.1382, 0.25, 0.1347, 0.25, 0.1653, 0.1811, 0.25, 0.1454, 0.25]",4,random_selection,0.138
Folk_Income_Data,9,"[0.1382, 0.25, 0.1347, 0.25, 0.1653, 0.1811, 0.25, 0.1454, 0.25]",4,sequential reconcile,0.144
Folk_Income_Data,9,"[0.1382, 0.25, 0.1347, 0.25, 0.1653, 0.1811, 0.25, 0.25, 0.25]",5,mode,0.25
Folk_Income_Data,9,"[0.1382, 0.25, 0.1347, 0.25, 0.1653, 0.1811, 0.25, 0.25, 0.25]",5,randomized,0.208
Folk_Income_Data,9,"[0.1382, 0.25, 0.1347, 0.25, 0.1653, 0.1811, 0.25, 0.25, 0.25]",5,random_selection,0.25
Folk_Income_Data,9,"[0.1382, 0.25, 0.1347, 0.25, 0.1653, 0.1811, 0.25, 0.25, 0.25]",5,sequential reconcile,0.135
Folk_Income_Data,9,"[0.1382, 0.25, 0.25, 0.25, 0.1653, 0.1811, 0.25, 0.25, 0.25]",6,mode,0.25
Folk_Income_Data,9,"[0.1382, 0.25, 0.25, 0.25, 0.1653, 0.1811, 0.25, 0.25, 0.25]",6,randomized,0.22
Folk_Income_Data,9,"[0.1382, 0.25, 0.25, 0.25, 0.1653, 0.1811, 0.25, 0.25, 0.25]",6,random_selection,0.25
Folk_Income_Data,9,"[0.1382, 0.25, 0.25, 0.25, 0.1653, 0.1811, 0.25, 0.25, 0.25]",6,sequential reconcile,0.149
Folk_Income_Data,9,"[0.1382, 0.25, 0.25, 0.25, 0.25, 0.1811, 0.25, 0.25, 0.25]",7,mode,0.25
Folk_Income_Data,9,"[0.1382, 0.25, 0.25, 0.25, 0.25, 0.1811, 0.25, 0.25, 0.25]",7,randomized,0.231
Folk_Income_Data,9,"[0.1382, 0.25, 0.25, 0.25, 0.25, 0.1811, 0.25, 0.25, 0.25]",7,random_selection,0.25
Folk_Income_Data,9,"[0.1382, 0.25, 0.25, 0.25, 0.25, 0.1811, 0.25, 0.25, 0.25]",7,sequential reconcile,0.146
Folk_Income_Data,9,"[0.1382, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,mode,0.25
Folk_Income_Data,9,"[0.1382, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,randomized,0.238
Folk_Income_Data,9,"[0.1382, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,random_selection,0.138
Folk_Income_Data,9,"[0.1382, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,sequential reconcile,0.147
Folk_Income_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,mode,0.25
Folk_Income_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,randomized,0.25
Folk_Income_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,random_selection,0.25
Folk_Income_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,sequential reconcile,0.25
Folk_Travel_Data,5,"[0.2072, 0.2094, 0.2062, 0.2066, 0.2101]",0,mode,0.207
Folk_Travel_Data,5,"[0.2072, 0.2094, 0.2062, 0.2066, 0.2101]",0,randomized,0.208
Folk_Travel_Data,5,"[0.2072, 0.2094, 0.2062, 0.2066, 0.2101]",0,random_selection,0.206
Folk_Travel_Data,5,"[0.2072, 0.2094, 0.2062, 0.2066, 0.2101]",0,sequential reconcile,0.209
Folk_Travel_Data,5,"[0.2072, 0.2094, 0.2062, 0.2066, 0.25]",1,mode,0.207
Folk_Travel_Data,5,"[0.2072, 0.2094, 0.2062, 0.2066, 0.25]",1,randomized,0.215
Folk_Travel_Data,5,"[0.2072, 0.2094, 0.2062, 0.2066, 0.25]",1,random_selection,0.209
Folk_Travel_Data,5,"[0.2072, 0.2094, 0.2062, 0.2066, 0.25]",1,sequential reconcile,0.207
Folk_Travel_Data,5,"[0.2072, 0.25, 0.2062, 0.2066, 0.25]",2,mode,0.25
Folk_Travel_Data,5,"[0.2072, 0.25, 0.2062, 0.2066, 0.25]",2,randomized,0.224
Folk_Travel_Data,5,"[0.2072, 0.25, 0.2062, 0.2066, 0.25]",2,random_selection,0.207
Folk_Travel_Data,5,"[0.2072, 0.25, 0.2062, 0.2066, 0.25]",2,sequential reconcile,0.22
Folk_Travel_Data,5,"[0.25, 0.25, 0.2062, 0.2066, 0.25]",3,mode,0.25
Folk_Travel_Data,5,"[0.25, 0.25, 0.2062, 0.2066, 0.25]",3,randomized,0.232
Folk_Travel_Data,5,"[0.25, 0.25, 0.2062, 0.2066, 0.25]",3,random_selection,0.25
Folk_Travel_Data,5,"[0.25, 0.25, 0.2062, 0.2066, 0.25]",3,sequential reconcile,0.207
Folk_Travel_Data,5,"[0.25, 0.25, 0.2062, 0.25, 0.25]",4,mode,0.25
Folk_Travel_Data,5,"[0.25, 0.25, 0.2062, 0.25, 0.25]",4,randomized,0.241
Folk_Travel_Data,5,"[0.25, 0.25, 0.2062, 0.25, 0.25]",4,random_selection,0.25
Folk_Travel_Data,5,"[0.25, 0.25, 0.2062, 0.25, 0.25]",4,sequential reconcile,0.22
Folk_Travel_Data,5,"[0.25, 0.25, 0.25, 0.25, 0.25]",5,mode,0.25
Folk_Travel_Data,5,"[0.25, 0.25, 0.25, 0.25, 0.25]",5,randomized,0.25
Folk_Travel_Data,5,"[0.25, 0.25, 0.25, 0.25, 0.25]",5,random_selection,0.25
Folk_Travel_Data,5,"[0.25, 0.25, 0.25, 0.25, 0.25]",5,sequential reconcile,0.25
Folk_Mobility_Data,9,"[0.1714, 0.1711, 0.1715, 0.1715, 0.2073, 0.189, 0.1873, 0.2464, 0.2323]",0,mode,0.173
Folk_Mobility_Data,9,"[0.1714, 0.1711, 0.1715, 0.1715, 0.2073, 0.189, 0.1873, 0.2464, 0.2323]",0,randomized,0.195
Folk_Mobility_Data,9,"[0.1714, 0.1711, 0.1715, 0.1715, 0.2073, 0.189, 0.1873, 0.2464, 0.2323]",0,random_selection,0.187
Folk_Mobility_Data,9,"[0.1714, 0.1711, 0.1715, 0.1715, 0.2073, 0.189, 0.1873, 0.2464, 0.2323]",0,sequential reconcile,0.179
Folk_Mobility_Data,9,"[0.1714, 0.1711, 0.1715, 0.1715, 0.2073, 0.189, 0.25, 0.2464, 0.2323]",1,mode,0.173
Folk_Mobility_Data,9,"[0.1714, 0.1711, 0.1715, 0.1715, 0.2073, 0.189, 0.25, 0.2464, 0.2323]",1,randomized,0.201
Folk_Mobility_Data,9,"[0.1714, 0.1711, 0.1715, 0.1715, 0.2073, 0.189, 0.25, 0.2464, 0.2323]",1,random_selection,0.172
Folk_Mobility_Data,9,"[0.1714, 0.1711, 0.1715, 0.1715, 0.2073, 0.189, 0.25, 0.2464, 0.2323]",1,sequential reconcile,0.17
