Data,MSE for different groups,Method
Folk_Mobility_Data,"[[0.179934578611605, 0.16192929956142912, 0.17552227295788939, 0.2079995351722785, 0.17462385305435307, 0.19712916666666666, 0.31014444444444444, 0.0576, 0.054800000000000015], [0.17718691213147275, 0.16757455205062355, 0.18525670714628903, 0.2053094512570283, 0.17689794340802759, 0.2026784577275354, 0.30245112113084494, 0.035654025575569744, 0.06979656522943034], [0.17722289151064036, 0.16975416442336047, 0.18201867616204864, 0.19866409168787114, 0.17634961393828344, 0.20554683079165836, 0.2913466308926103, 0.02704219545271271, 0.08140250909414752], [0.17726250677309863, 0.16991135673968447, 0.18223454268518896, 0.19761509494122698, 0.17683445225984143, 0.20742230152845198, 0.2904720648230935, 0.030604902680429813, 0.080404552253547], [0.21603921568627454, 0.2008614232209738, 0.22593607305936075, 0.23778656126482217, 0.21679653679653682, 0.1925, 0.4977777777777778, 0.16000000000000003, 0.01999999999999999], [0.19394916461556447, 0.18518119110019557, 0.25243756537112466, 0.2203322513972182, 0.2307222980122292, 0.22814875507432092, 0.22728654539864696, 0.0008163265306122455, 0.059501558678281545], [0.19165515656760093, 0.18533410532226482, 0.2022910444211301, 0.22370531821401904, 0.18887480464325046, 0.2069397879248444, 0.29113856689543, 0.03790494159501509, 0.07093576923448466], [0.24650863923313265, 0.24619774382575485, 0.24705450184538888, 0.24752916733367605, 0.24679959165184326, 0.24667242924387386, 0.24991565818309905, 0.24251959652185387, 0.24593076391911622]]",original
Folk_Mobility_Data,"[0.18095463196347264, 0.16339214085934378, 0.17668391679350587, 0.21357423872959072, 0.1740619482924483, 0.19290416666666665, 0.31014444444444444, 0.0576, 0.054800000000000015]",mode
Folk_Mobility_Data,"[0.19706151521198625, 0.18394772319202535, 0.20338914157493185, 0.23038862615865185, 0.195082358165901, 0.25639309088986484, 0.2250504743863416, 0.02704219545271271, 0.14187811413327395]",randomized
Folk_Mobility_Data,"[0.19165515656760093, 0.18533410532226482, 0.2022910444211301, 0.22370531821401904, 0.18887480464325046, 0.2069397879248444, 0.29113856689543, 0.03790494159501509, 0.07093576923448466]",random_selection
Folk_Mobility_Data,"[0.17576232316303655, 0.16706881043527438, 0.1811352199245735, 0.19315651667477202, 0.17514874085407575, 0.1989232191017114, 0.2913466308926103, 0.02704219545271271, 0.08140250909414752]",reconcile
Compas_Data,"[[0.22834902566752818, 0.2148448755349262, 0.2549957145521649, 0.24643842947044073, 0.11058347631224186, 0.2261533777923735], [0.21378397167519658, 0.21542654510014814, 0.2505952789029108, 0.22921240738670137, 0.11061531963675307, 0.2192716784295024], [0.20883574664253415, 0.22556224536035027, 0.15867447830605563, 0.20042046254397528, 0.10846289813754552, 0.2078775741243286], [0.20800974048207324, 0.22658719177003128, 0.08568889825336386, 0.19933193675779667, 0.11121949760258285, 0.2082085558726641], [0.23888372093023258, 0.23933333333333331, 0.6400000000000001, 0.26181818181818184, 0.13500000000000004, 0.2336], [0.24771104194297847, 0.24609365970389194, 0.5555555555555556, 0.29518496566383867, 0.15639785325895064, 0.23751741202520088], [0.23115195988491896, 0.23386827630602988, 0.5555555555555556, 0.22452580674045242, 0.15639785325895064, 0.23406470250393385], [0.21391626895315993, 0.22623538265234153, 0.4619205260404332, 0.20458611494472786, 0.11081079578845512, 0.20990001721994336], [0.2475146365237668, 0.24599690337974214, 0.2556782316828109, 0.2476968109026397, 0.2437115152309875, 0.24763359950440444]]",original
Compas_Data,"[0.2400188561141963, 0.23891046171242175, 0.5555555555555556, 0.24655531993457222, 0.15639785325895064, 0.23391487830742608]",mode
Compas_Data,"[0.2277286108116494, 0.24543915924718782, 0.7634245922572226, 0.2461250669687746, 0.10778921612162862, 0.2210984026817664]",randomized
Compas_Data,"[0.23888372093023258, 0.23933333333333331, 0.6400000000000001, 0.26181818181818184, 0.13500000000000004, 0.2336]",random_selection
Compas_Data,"[0.20883574664253415, 0.22556224536035027, 0.15867447830605563, 0.20042046254397528, 0.10846289813754552, 0.2078775741243286]",reconcile
