Data,MSE for different groups,Method
Folk_Mobility_Data,"[[0.16178441004164074, 0.1727950955810559, 0.1704074260564832, 0.17647894122942384, 0.20609917447601947, 0.1223875, 0.2748022222222223, 0.18978531746031746], [0.17070684687569587, 0.17220184239803094, 0.1715741631133585, 0.17408101504645507, 0.2026559554616845, 0.13771396555684884, 0.24838931182001237, 0.21159606754405888], [0.1728830010133564, 0.17148103707394338, 0.17841945723432556, 0.17333209142322417, 0.19908583782018935, 0.17658289194170154, 0.23171947080935223, 0.20799688321523094], [0.17269069405868992, 0.17149845479789708, 0.1778854945275486, 0.1734115137904545, 0.19844512919821886, 0.17189881840335866, 0.2321064446945406, 0.20730094183347886], [0.2039302112029385, 0.2071523697610654, 0.19763636363636367, 0.222962962962963, 0.24348547717842325, 0.185, 0.26400000000000007, 0.21714285714285722], [0.18057609242018383, 0.1871671379795725, 0.22346667318655403, 0.1889391677841339, 0.23332205391016506, 0.15783944666808536, 0.37135870768524437, 0.29058702801043756], [0.19043990843426056, 0.18706632274940924, 0.19000859934021178, 0.19973946663196707, 0.22085420713298917, 0.10605089384181675, 0.22457411363193108, 0.23024587430014767], [0.24625726966532466, 0.24633547877643022, 0.24691235285662372, 0.24683026825790635, 0.24761632332101613, 0.24663166833741046, 0.24658756133145787, 0.24667170885598708]]",original
Folk_Mobility_Data,"[0.1631934192243772, 0.17347959213739486, 0.17213560787466503, 0.17665810789609054, 0.20969004584531406, 0.1223875, 0.2748022222222223, 0.18978531746031746]",mode
Folk_Mobility_Data,"[0.1876907298656858, 0.18839287695493112, 0.18590192900535746, 0.1961876509776739, 0.20503021339788496, 0.1695738802531282, 0.28727828805076594, 0.20795745796358792]",randomized
Folk_Mobility_Data,"[0.19043990843426056, 0.18706632274940924, 0.19000859934021178, 0.19973946663196707, 0.22085420713298917, 0.10605089384181675, 0.22457411363193108, 0.23024587430014767]",random_selection
Folk_Mobility_Data,"[0.1727356560116229, 0.17705787543487495, 0.17958060590508318, 0.19598104930095345, 0.2088422054237326, 0.09105900593242666, 0.22457411363193108, 0.21750172199484047]",reconcile
Compas_Data,"[[0.23723886773731115, 0.22088244481803374, 0.20085336111111124, 0.23531836609474294, 0.1440589200948512, 0.2228975523754155], [0.22164974728041897, 0.20444988767018357, 0.22306080740901188, 0.22849342703724712, 0.1511955266091934, 0.21341198744761553], [0.20851416015636506, 0.19168395760305906, 0.42188794099050275, 0.21424436421931106, 0.22371304049770588, 0.20782810893424258], [0.21017713447670502, 0.189268554206924, 0.2549552491376093, 0.2130378881967773, 0.24721477631846656, 0.20788314806856442], [0.2597285100584063, 0.28411016376980824, 0.11111111111111113, 0.24765996072233723, 0.21250123456790124, 0.22962958333016528], [0.2293939098404126, 0.2605199004874256, 0.08163265306122448, 0.24403252585712876, 0.21497056045297802, 0.2211865901306126], [0.21234524664267734, 0.18974662798796904, 0.323154745596414, 0.21383231714024714, 0.1881698941318396, 0.20903888845826102], [0.2472654655451374, 0.24772602420903087, 0.25129558773052457, 0.247479192787507, 0.24659421464155937, 0.24733601299723207], [0.24274529492286528, 0.20461686195668685, 0.0, 0.3382556617696171, 0.2222222222222222, 0.24544910360715308]]",original
Compas_Data,"[0.24485664319859912, 0.26659249724175477, 0.20085336111111124, 0.2473499446631404, 0.22906489531419888, 0.22498946123793098]",mode
Compas_Data,"[0.23562321361464184, 0.23911460150335137, 0.2549552491376093, 0.24799865108097335, 0.27493273995003054, 0.22593229674699128]",randomized
Compas_Data,"[0.2293939098404126, 0.2605199004874256, 0.08163265306122448, 0.24403252585712876, 0.21497056045297802, 0.2211865901306126]",random_selection
Compas_Data,"[0.2151691222822917, 0.20375019845456568, 0.1756009070294785, 0.21212142844441326, 0.23939932784470835, 0.21245134601847748]",reconcile
Adult_Data,"[[0.11650813844118768, 0.1363041859988177, 0.05741099528301886, 0.07849269319748621, 0.1270496668686219], [0.11306867932230413, 0.1269418477708742, 0.05932870985835595, 0.07442278026725853, 0.1203316117746331], [0.11654118908254707, 0.11800153823585047, 0.04924348957166365, 0.07016268931702092, 0.11750498458846122], [0.11710859624584649, 0.11812241992288765, 0.05123762107931927, 0.07012521098704422, 0.11613280114114036], [0.15513513513513513, 0.14622054326317685, 0.07396226415094341, 0.08208130081300814, 0.1879245283018868], [0.15915915915915918, 0.16060042773480443, 0.07966457023060795, 0.08997289972899729, 0.18763102725366876], [0.14965472788225834, 0.12795003501882893, 0.05272993786284964, 0.08344898975764267, 0.14312424162509507], [0.1099124231586005, 0.11916161742799003, 0.0487047374720763, 0.07256399468478787, 0.11860231982743107], [0.23180380442888185, 0.22648718587878627, 0.20592922831872712, 0.22467097160696997, 0.2308860374442072]]",original
Adult_Data,"[0.11961724760467075, 0.14147486342166846, 0.0620997641509434, 0.08016060688752466, 0.1502766388287896]",mode
Adult_Data,"[0.11895767294770071, 0.14273822982032516, 0.07030474141767977, 0.09056996328863144, 0.15632083046464573]",randomized
Adult_Data,"[0.23180380442888185, 0.22648718587878627, 0.20592922831872712, 0.22467097160696997, 0.2308860374442072]",random_selection
Adult_Data,"[0.11674676843922724, 0.12438538394274971, 0.05932870985835595, 0.07205375050175052, 0.12735743156534837]",reconcile
Folk_Income_Data,"[[0.1435761890656869, 0.12482374131944445, 0.1022534882573515, 0.04736153846153846, 0.10458562438909011, 0.12244603102189781, 0.01586363636363636, 0.15866666666666665, 0.06484999999999999], [0.14973747656620154, 0.12584470118875407, 0.10874540893957686, 0.05591686175902978, 0.10808972978417149, 0.1362974183395686, 0.029419531084494424, 0.15886392610174888, 0.04850402617918733], [0.14036316567886137, 0.1172219146564111, 0.10377028869070883, 0.028432793402740186, 0.10353384438679565, 0.1219520794424232, 0.013027189557307016, 0.15749557235567083, 0.051017217358868466], [0.1403689281141561, 0.11694455243365728, 0.1041350595038836, 0.025136699652135316, 0.1035410577393755, 0.12256542671386617, 0.013866950902366993, 0.1594650789184834, 0.047243122301619034], [0.17030815862591567, 0.13953703703703704, 0.13321492007104796, 0.07384615384615387, 0.13436860068259388, 0.17124087591240877, 0.16000000000000003, 0.13444444444444448, 0.020000000000000004], [0.18749122954730432, 0.15586419753086422, 0.14841128873100456, 0.08547008547008547, 0.1446719757299962, 0.18876723438767237, 0.1414141414141414, 0.12654320987654322, 0.0], [0.15301733404474704, 0.12658271662031575, 0.12445913793369401, 0.017615839797363884, 0.11851647761996328, 0.1419880536356895, 0.013066175307580441, 0.17853039931082587, 0.08000016354554979], [0.15205348731018897, 0.12232421222839181, 0.11034322192764104, 0.0797963681350126, 0.11068554541144024, 0.1372897181954223, 0.03765608585370772, 0.15788941527534586, 1.865773563881867e-08], [0.24252769870425175, 0.23900332361873403, 0.2388513661250232, 0.23621612659113017, 0.23864704522317137, 0.2421842937643136, 0.23267852404147368, 0.24198582270215985, 0.2286263112931528]]",original
Folk_Income_Data,"[0.15304419034008734, 0.12717754629629632, 0.11087557233076771, 0.046869230769230774, 0.11626761968513229, 0.1360086425385239, 0.10468181818181818, 0.155091975308642, 0.0648]",mode
Folk_Income_Data,"[0.1649494404503012, 0.1391867160744678, 0.1301632552606031, 0.07329459009788888, 0.12992883797442442, 0.1487853123062447, 0.18164388777399582, 0.16898483599207564, 0.0472269090106087]",randomized
Folk_Income_Data,"[0.15205348731018897, 0.12232421222839181, 0.11034322192764104, 0.0797963681350126, 0.11068554541144024, 0.1372897181954223, 0.03765608585370772, 0.15788941527534586, 1.865773563881867e-08]",random_selection
Folk_Income_Data,"[0.15249261722781973, 0.125529263831733, 0.11537486568866086, 0.05295346628679964, 0.11389078498293517, 0.1462413264846355, 0.1071604938271605, 0.15375857338820306, 0.020000000000000004]",reconcile
German_Data,"[[0.16502727272727272, 0.16698648648648648, 0.17009830508474574, 0.1819210526315789], [0.13595607882793137, 0.16685952839027351, 0.16918971994257662, 0.18180897898637832], [0.09265480495240234, 0.1708900507351117, 0.16251864124913787, 0.1538991130055855], [0.10173062000504934, 0.16759345610903778, 0.16572661604624828, 0.1466219496045302], [0.16363636363636366, 0.22846846846846847, 0.19796610169491524, 0.26105263157894737], [0.13131313131313133, 0.2502502502502502, 0.19585687382297554, 0.2982456140350877], [0.16416073700549846, 0.17732035644644364, 0.17629484199427492, 0.21482260072520726]]",original
German_Data,"[0.1557090909090909, 0.19824054054054055, 0.1746796610169491, 0.21626842105263155]",mode
German_Data,"[0.1619374775873374, 0.20399052192079883, 0.1856301781649265, 0.15639199987847166]",randomized
German_Data,"[0.09265480495240234, 0.1708900507351117, 0.16251864124913787, 0.1538991130055855]",random_selection
German_Data,"[0.12918761249614677, 0.18540979256822002, 0.17687098859642209, 0.1910524852687824]",reconcile
Folk_Travel_Data,"[[0.2071180531158684, 0.2189777449208696, 0.20710574423480085, 0.21323559443339962, 0.2202420365535248, 0.2416666666666667, 0.21003529411764707, 0.20456060606060608, 0.36], [0.20872072844269035, 0.2211258564972582, 0.20547448597259038, 0.21801274044937213, 0.21697862697970796, 0.2251275956447313, 0.22943451999290074, 0.2099200698758557, 0.21325988351987435], [0.20531680432981025, 0.21693527898508852, 0.2034395605760252, 0.21724026088129852, 0.21133543323918536, 0.22868272506520101, 0.23131195014469036, 0.21963254052926354, 0.19805224767582766], [0.2054488393946561, 0.2172045478400856, 0.20334798057592557, 0.2168278507440852, 0.21154967298593952, 0.22649872928652273, 0.2317409481306247, 0.21699161486214316, 0.21921070390337774], [0.20800600463292843, 0.22444232778790854, 0.20292374880362843, 0.23305315528829815, 0.21722869626364116, 0.3233373981733353, 0.239367264586457, 0.261392657927969, 0.31304435238230666]]",original
Folk_Travel_Data,"[0.2071180531158684, 0.2189777449208696, 0.20710574423480085, 0.21323559443339962, 0.2202420365535248, 0.2416666666666667, 0.21003529411764707, 0.20456060606060608, 0.36]",mode
Folk_Travel_Data,"[0.20695148053224455, 0.22191292697853465, 0.2035587804505302, 0.2240545055100613, 0.21811601061656796, 0.21889989247404382, 0.23047761174300097, 0.2140592216570031, 0.19805224767582766]",randomized
Folk_Travel_Data,"[0.20872072844269035, 0.2211258564972582, 0.20547448597259038, 0.21801274044937213, 0.21697862697970796, 0.2251275956447313, 0.22943451999290074, 0.2099200698758557, 0.21325988351987435]",random_selection
Folk_Travel_Data,"[0.20709119456002759, 0.22003882237106323, 0.20711330515001622, 0.21777814477983737, 0.21592965575888634, 0.2251275956447313, 0.22204872166644982, 0.21973753750381786, 0.21325988351987435]",reconcile
Folk_Mobility_Data,"[[0.16351637772115127, 0.17344858535441365, 0.1620581471574144, 0.19426160209662482, 0.16991366081154685, 0.10405416666666667, 0.08070000000000001, 0.21655], [0.16819936074233954, 0.17179710011087523, 0.15929275114717226, 0.20241336948308508, 0.16512169374925542, 0.10932325511240908, 0.10536017732336926, 0.22819303606336178], [0.17343561182559192, 0.17202937277899044, 0.16063752107342472, 0.20129685054972707, 0.16699870874117767, 0.09384055182381017, 0.09009158924210371, 0.22788249381817047], [0.17327173595871076, 0.17190398100664844, 0.16061215205233073, 0.20188846573905275, 0.16680039185996368, 0.09195161189589174, 0.09086345659579746, 0.22494453478120613], [0.20089668615984407, 0.2057686335403727, 0.18862222222222225, 0.24153256704980847, 0.21333333333333335, 0.11166666666666668, 0.17333333333333334, 0.32000000000000006], [0.22525449426034225, 0.22692374051069708, 0.24098765432098768, 0.23754789272030652, 0.2380174291938998, 0.11111111111111112, 0.14814814814814814, 0.3611111111111111], [0.1928804323581018, 0.19383259722545843, 0.19056119955291478, 0.2427613479310821, 0.21043265953258256, 0.11046844866380619, 0.17886374613061043, 0.2636280289745128], [0.18462991342628668, 0.18583879166927034, 0.1719436762450811, 0.2291005286465186, 0.1944671755472841, 0.13898799379197965, 0.18965954739892243, 0.22988215476935037], [0.24607371247188475, 0.24630641458218178, 0.24635507155189795, 0.24757145759128046, 0.2467959446022849, 0.24391158555102996, 0.24554104620554165, 0.24926477796211916], [0.2175178982888132, 0.21913909061173756, 0.2072455932164593, 0.24583515831770195, 0.23842467188984923, 0.09873002987196426, 0.1545421323281973, 0.2182910045743842]]",original
Folk_Mobility_Data,"[0.1781121308831274, 0.18579125171504426, 0.16869823456790123, 0.21334031038325998, 0.173305841503268, 0.09817916666666666, 0.0732, 0.20892500000000003]",mode
Folk_Mobility_Data,"[0.19725495098586976, 0.19378003897605733, 0.18613788445097504, 0.2297013625886426, 0.20282604170576424, 0.13404467121115873, 0.2624096790569779, 0.17784565234687252]",randomized
Folk_Mobility_Data,"[0.22525449426034225, 0.22692374051069708, 0.24098765432098768, 0.23754789272030652, 0.2380174291938998, 0.11111111111111112, 0.14814814814814814, 0.3611111111111111]",random_selection
Folk_Mobility_Data,"[0.1598526188991479, 0.169898059587558, 0.16533069379458334, 0.19932111371610486, 0.16454740349040597, 0.10467819406348289, 0.10536017732336926, 0.19733766589076307]",reconcile
Compas_Data,"[[0.23428159211587468, 0.23615893274009261, 0.15580172401007938, 0.25626218881377466, 0.004575304443452954, 0.22718288195930306], [0.2240760387565753, 0.23329340684646166, 0.15561703700307075, 0.2460393278774346, 0.008046356126321656, 0.21796723303949214], [0.2145418702607954, 0.23414547430980914, 0.2690304636476766, 0.2010676421681482, 0.0018407370597363863, 0.2104073319982532], [0.21441133007195826, 0.2363466894349644, 0.15852769674275005, 0.20260407738638717, 0.0017404628154161143, 0.21062266601955915], [0.24920049205737915, 0.24811916202729098, 0.2298268890032007, 0.27531780078389206, 0.0, 0.23220809955414962], [0.23613606238686732, 0.23428025579533754, 0.16810784884941632, 0.2669348667605914, 0.025061260859879708, 0.22997961638100928], [0.2181776594240695, 0.22877753225060518, 0.15590636424827758, 0.20010590496124794, 0.050190181943451796, 0.2107237594793372], [0.24812369049264213, 0.248238414565664, 0.2486094825305125, 0.24739752808014637, 0.2430960705758449, 0.24763052055616563]]",original
Compas_Data,"[0.24142262938039866, 0.2361405828710799, 0.14531359435469904, 0.26908595319639894, 0.0002679972512431927, 0.23077863302239943]",mode
Compas_Data,"[0.23417450765757994, 0.2436963021575266, 0.1830403215841684, 0.2035237662243822, 0.0015696759449844696, 0.2296113618689435]",randomized
Compas_Data,"[0.2145418702607954, 0.23414547430980914, 0.2690304636476766, 0.2010676421681482, 0.0018407370597363863, 0.2104073319982532]",random_selection
Compas_Data,"[0.21019249254824074, 0.23481669289148843, 0.16712455704160947, 0.21714887277998055, 0.0, 0.21754246553576476]",reconcile
Adult_Data,"[[0.09403818402995157, 0.13648291795722012, 0.06354456529292751, 0.0767740008026491, 0.11760212677565599], [0.08401457606777184, 0.12420994202076398, 0.06310467228033478, 0.07751506035635908, 0.12172512133309542], [0.08590004230000597, 0.11427315281489846, 0.05186271585392621, 0.07271439338362902, 0.11384389856655046], [0.08666816793296642, 0.11420245816324773, 0.05169398720871825, 0.07282105057862368, 0.11551490941017983], [0.1193220338983051, 0.1406384505021521, 0.09931034482758622, 0.09193650793650796, 0.15473684210526317], [0.16195856873822975, 0.15638450502152082, 0.10344827586206896, 0.09823633156966491, 0.18011695906432748], [0.10242621496329765, 0.12796519963584713, 0.06220633405698628, 0.08150180545421609, 0.15023024982765745], [0.08486281548172268, 0.11540212702558308, 0.054678925599796646, 0.0734873258153074, 0.11560368899720073], [0.23468764352238045, 0.23521679526277475, 0.22696981413716671, 0.22971996087662572, 0.23729659422507082]]",original
Adult_Data,"[0.10402267578597602, 0.1396309475293665, 0.09226915708812261, 0.08166680044991542, 0.12784516405635776]",mode
Adult_Data,"[0.10911038939309829, 0.14083569078115996, 0.07403981174127588, 0.09846631730333075, 0.13751996614914982]",randomized
Adult_Data,"[0.08486281548172268, 0.11540212702558308, 0.054678925599796646, 0.0734873258153074, 0.11560368899720073]",random_selection
Adult_Data,"[0.08051951590402097, 0.11831906392824595, 0.05933201114780246, 0.07286706386734104, 0.1223389721269624]",reconcile
Folk_Income_Data,"[[0.14698813566607224, 0.11921908203638033, 0.09045450352404644, 0.021921428571428567, 0.10847969880842659, 0.13679324440619622, 0.06321428571428571, 0.16669534883720927, 0.48999999999999994], [0.15185795344249647, 0.1260836134676347, 0.09569577036160636, 0.04232651555483753, 0.11231594558511883, 0.145143669500225, 0.04700981951412147, 0.1458809733538994, 0.318967598003746], [0.1435669960715633, 0.1172176262919355, 0.0923260481447508, 0.01974454899034536, 0.10767628077342384, 0.13761528029684747, 0.021230851005509723, 0.13282423153156234, 0.23397835644345177], [0.14332374277162116, 0.1174506729784754, 0.09269347636504033, 0.016599606805450175, 0.10713145773973196, 0.13682204721895413, 0.023029476341357984, 0.13014897479417462, 0.19431003965329596], [0.17469315673289185, 0.1711583924349882, 0.12291044776119404, 0.1, 0.14054193548387098, 0.1674354561101549, 0.02285714285714286, 0.21488372093023256, 0.16000000000000003], [0.1944076526857984, 0.18045705279747834, 0.12769485903814265, 0.055555555555555566, 0.1533094384707288, 0.17728055077452667, 0.031746031746031744, 0.2196382428940569, 0.0], [0.15695795591048312, 0.1422230622796564, 0.09268600670414988, 0.04828830930711782, 0.12158742005102768, 0.15369591939785365, 0.15271417576281218, 0.13505835314269954, 0.6499466059254271], [0.15368947882399656, 0.12803571594887503, 0.10307044983120353, 0.050495036524715146, 0.11889754966146232, 0.15345538460851713, 0.01488965282665585, 0.1456818932310634, 6.76976034023756e-07], [0.24265635124711304, 0.23865399676147392, 0.23814606965106397, 0.232436252927351, 0.23920812579290293, 0.24252341197747937, 0.23886377782482868, 0.2432482338369385, 0.2478564191569311]]",original
Folk_Income_Data,"[0.1581684574977957, 0.13518515399264514, 0.09738007877280265, 0.017685714285714284, 0.11776963983590569, 0.14763947695544083, 0.062228571428571425, 0.17415581395348836, 0.48999999999999994]",mode
Folk_Income_Data,"[0.1667428100184687, 0.15369194934734898, 0.12070496551210988, 0.02349081536848308, 0.1409033636709377, 0.1641094910490769, 0.046758135654503166, 0.15733643248862145, 0.23397835644345177]",randomized
Folk_Income_Data,"[0.1944076526857984, 0.18045705279747834, 0.12769485903814265, 0.055555555555555566, 0.1533094384707288, 0.17728055077452667, 0.031746031746031744, 0.2196382428940569, 0.0]",random_selection
Folk_Income_Data,"[0.14618877685108256, 0.11998140553248401, 0.09604377289245948, 0.03461343462614387, 0.11104261193079056, 0.14132102040804695, 0.04604709614782428, 0.14171852108571587, 0.040329791189406536]",reconcile
German_Data,"[[0.1557981981981982, 0.18495625, 0.17877187500000002, 0.2796444444444444], [0.1598223621630022, 0.17009167188054028, 0.17887368374857837, 0.2485536140140755], [0.17848585101436773, 0.17857405131167547, 0.18010503878107845, 0.31739843312067717], [0.18301284556627623, 0.17894542552439058, 0.18808702711035596, 0.24461116924506385], [0.18090090090090089, 0.18, 0.17562500000000003, 0.3911111111111112], [0.18318318318318316, 0.18055555555555558, 0.1840277777777778, 0.3703703703703704], [0.15578538422985325, 0.16952938104121398, 0.18538306111853525, 0.3304383998204805], [0.24341737978396671, 0.2349637373139763, 0.24477008116125268, 0.2500838817803465], [0.21755125005097561, 0.21955689705028356, 0.23348239458867703, 0.4339423418787119]]",original
German_Data,"[0.15073153153153152, 0.18169375, 0.1745515625, 0.3378555555555556]",mode
German_Data,"[0.19440901154992826, 0.16172283302626728, 0.21626856409630063, 0.2189356050263849]",randomized
German_Data,"[0.18301284556627623, 0.17894542552439058, 0.18808702711035596, 0.24461116924506385]",random_selection
German_Data,"[0.14480668760664622, 0.1904693923747363, 0.16585050681036884, 0.3304383998204805]",reconcile
Folk_Travel_Data,"[[0.20565562153192493, 0.21275232558139534, 0.21744830533266465, 0.2153721413721414, 0.21125454545454547, 0.2325881465517241, 0.2629571428571429, 0.19708749999999997, 0.12339999999999998], [0.2079711310518094, 0.20854145840987082, 0.21881970907070658, 0.21841172482580473, 0.20835753077142197, 0.20059026713039937, 0.27358305431388114, 0.181562756803006, 0.13847370533425427], [0.2038892613855547, 0.20434808394182694, 0.21250988705823196, 0.21593927568955273, 0.20114552048207676, 0.19332342463296223, 0.2746860775590604, 0.1727646808639128, 0.10315361105086299], [0.20500511353178155, 0.20571095086724672, 0.21361990078250173, 0.21825254757387283, 0.2021696349413739, 0.19331628764062656, 0.27970994882613437, 0.18106310928173752, 0.11489934386644152], [0.20853793767449438, 0.20918210331041906, 0.22403004978781083, 0.2276219934492019, 0.20264725298358482, 0.20398623696194762, 0.3094872369212832, 0.21127654286577857, 0.08660511928659355]]",original
Folk_Travel_Data,"[0.20565562153192493, 0.21275232558139534, 0.21744830533266465, 0.2153721413721414, 0.21125454545454547, 0.2325881465517241, 0.2629571428571429, 0.19708749999999997, 0.12339999999999998]",mode
Folk_Travel_Data,"[0.2059655437786157, 0.2066271942067495, 0.21737352401367394, 0.22063407526170586, 0.20535355704422567, 0.20835586203701642, 0.26078326646564687, 0.20157681579594544, 0.1077089998865938]",randomized
Folk_Travel_Data,"[0.2038892613855547, 0.20434808394182694, 0.21250988705823196, 0.21593927568955273, 0.20114552048207676, 0.19332342463296223, 0.2746860775590604, 0.1727646808639128, 0.10315361105086299]",random_selection
Folk_Travel_Data,"[0.2041002885697014, 0.20298731019802085, 0.21522960136170066, 0.22110063648907743, 0.19896771517352746, 0.21134955616246376, 0.3094872369212832, 0.21127654286577857, 0.08660511928659355]",reconcile
Folk_Mobility_Data,"[[0.1788798019032593, 0.1957716633462909, 0.15701744720732752, 0.17479750147405662, 0.17364189089863016, 0.1720535714285714, 0.11697499999999998, 0.0714], [0.173631152405576, 0.1932619579711738, 0.16192417432825784, 0.1708943035124598, 0.17125334962051142, 0.15103630825749154, 0.12382849238358082, 0.09081834623117728], [0.17311608826757832, 0.1935273206377625, 0.16280104951494806, 0.1714865831309311, 0.17271285764784897, 0.142246721524486, 0.08787795159421838, 0.18291811343507636], [0.17298388830319122, 0.19198776999443434, 0.16211303787087802, 0.17224962966325433, 0.1694534287144788, 0.14583142395880092, 0.08792737334755273, 0.1800140921586625], [0.20744768237825156, 0.23857142857142857, 0.1992265193370166, 0.21603773584905658, 0.2312446351931331, 0.21714285714285717, 0.27428571428571435, 0.06666666666666667], [0.19458945891384916, 0.21749116393492093, 0.16183803484042336, 0.20529811579513488, 0.19945538394215756, 0.18025403600009873, 0.054470305190702666, 0.015648148148148144], [0.18636534683610445, 0.21585412838425272, 0.17702233939084674, 0.1899952538311859, 0.18074575232332862, 0.16441945293746876, 0.17936040124953406, 0.06306321797699267], [0.2465097418314794, 0.24732311818584624, 0.24598112281894868, 0.2468960719794934, 0.2467165240139778, 0.24530677761938496, 0.24649139605984188, 0.24791500769913133], [0.2285317318639536, 0.26675929760150024, 0.21347729860142142, 0.2492587872491139, 0.23108862010325826, 0.16109353305586369, 0.31979657868360734, 0.3200056641984552]]",original
Folk_Mobility_Data,"[0.17917316122562926, 0.20425827048914802, 0.15688754379009812, 0.1744008033608491, 0.17239167630635546, 0.1720535714285714, 0.11697499999999998, 0.0714]",mode
Folk_Mobility_Data,"[0.19615834125504833, 0.22439585078777266, 0.17951155126910875, 0.20923950653881046, 0.19356538501855233, 0.22987370223750864, 0.1283812508712577, 0.13273250876132156]",randomized
Folk_Mobility_Data,"[0.18636534683610445, 0.21585412838425272, 0.17702233939084674, 0.1899952538311859, 0.18074575232332862, 0.16441945293746876, 0.17936040124953406, 0.06306321797699267]",random_selection
Folk_Mobility_Data,"[0.173631152405576, 0.1932619579711738, 0.16192417432825784, 0.1708943035124598, 0.17125334962051142, 0.15103630825749154, 0.12382849238358082, 0.09081834623117728]",reconcile
Compas_Data,"[[0.23729062680294913, 0.2630084874996097, 0.07038152312056459, 0.2887495367974679, 0.18456305469402934, 0.23588704182453404], [0.22212519412192, 0.2592213809817751, 0.07481209259170152, 0.257822154265295, 0.1989287353586101, 0.2250007321455614], [0.21200438567057087, 0.22886545169914171, 0.14553890322721355, 0.20937470842263112, 0.2149178923827451, 0.21201967024952292], [0.21236516405515157, 0.2320926052959326, 0.09406384182964916, 0.20890541810124136, 0.1980580109762182, 0.21193985404635096], [0.24467012076987601, 0.3712831134344621, 0.025688888888888886, 0.3566247249676741, 0.31224700624051277, 0.2471728757128109], [0.23280529890665075, 0.34621857937600325, 0.027146762183052127, 0.3008183490885093, 0.31321434638064505, 0.23268394819520893], [0.2112490441940755, 0.23225203493228228, 0.13289166824376764, 0.2170536906197299, 0.19886361199325459, 0.21377060861617017], [0.247339086364895, 0.24827226484521578, 0.24522111537106822, 0.24779294284834735, 0.24720797598027905, 0.24825812855999135]]",original
Compas_Data,"[0.24488479656761863, 0.3396762924879042, 0.02210749527125533, 0.32770936963848474, 0.3539776767788884, 0.24233703525211678]",mode
Compas_Data,"[0.2329181768187085, 0.2617015601918272, 0.07767219117186752, 0.2670079153085094, 0.1711989887311782, 0.22629862631953337]",randomized
Compas_Data,"[0.21236516405515157, 0.2320926052959326, 0.09406384182964916, 0.20890541810124136, 0.1980580109762182, 0.21193985404635096]",random_selection
Compas_Data,"[0.21774453352758255, 0.2169228728519993, 0.08889876543209879, 0.23702901203862783, 0.2704063777332175, 0.22922037426134464]",reconcile
Adult_Data,"[[0.08166235563966023, 0.13600871180779656, 0.08005201301220824, 0.07625836516607713, 0.1422381391944106], [0.06430481807051075, 0.12591602470641497, 0.07343761358482077, 0.07578555703279437, 0.13542106196257672], [0.06575192449659951, 0.1169329190167115, 0.0797621933007701, 0.07200905909493151, 0.1400978746948065], [0.0668510474959368, 0.1169831072648518, 0.07723736624222034, 0.07150935158120861, 0.13970024309645962], [0.10229508196721314, 0.14201914394076218, 0.06836363636363639, 0.08334365325077402, 0.16672897196261685], [0.11293260473588343, 0.15734553408384003, 0.09898989898989899, 0.09098727210182318, 0.18380062305295947], [0.0662616636156687, 0.1297780148710159, 0.1035973881962803, 0.07800305015030089, 0.15970459190571062], [0.05827783436799362, 0.1187367118659383, 0.07059461012802365, 0.0722868397832133, 0.1372770055769601], [0.23634945238455218, 0.23807848333660986, 0.22945998365636208, 0.2333677409046677, 0.23921214213663622]]",original
Adult_Data,"[0.08894662192855285, 0.13961635939986206, 0.080675, 0.07977863876134182, 0.1429844324187097]",mode
Adult_Data,"[0.07516580386691293, 0.14249571378262196, 0.09618558597431298, 0.08672477177704672, 0.15886428353237664]",randomized
Adult_Data,"[0.06575192449659951, 0.1169329190167115, 0.0797621933007701, 0.07200905909493151, 0.1400978746948065]",random_selection
Adult_Data,"[0.05827783436799362, 0.1187367118659383, 0.07059461012802365, 0.0722868397832133, 0.1372770055769601]",reconcile
Folk_Income_Data,"[[0.14318552795389508, 0.13024177725612937, 0.10540717920353984, 0.05747619047619047, 0.11141850062059648, 0.12827994791666666, 0.07022222222222221, 0.16219032258064517], [0.1492926122145235, 0.13418047594019464, 0.1114518114668129, 0.06850576059454017, 0.1157802159579709, 0.1378813251222288, 0.07476680934950088, 0.16662124932416159], [0.14016451070287078, 0.13062358405657062, 0.1067899452015246, 0.047389905636058174, 0.11281578071109627, 0.12415926005323971, 0.06557131239167248, 0.18546966514150917], [0.14052559678886475, 0.13000865320902227, 0.10675982290668948, 0.05050626719771904, 0.11276314586751823, 0.1245150275753775, 0.06640896322400683, 0.1870739794212845], [0.16962678582667257, 0.17211267605633804, 0.13486725663716817, 0.17904761904761904, 0.14094732182381586, 0.15055555555555555, 0.0866666666666667, 0.20258064516129032], [0.1865721218732736, 0.1862284820031299, 0.1459193706981318, 0.1693121693121693, 0.1540012788352762, 0.1541280864197531, 0.07407407407407408, 0.18637992831541222], [0.15371279632412435, 0.14886525263599254, 0.12379746183779065, 0.02771079279581709, 0.12858766192655854, 0.1493250602405077, 0.07484851116643003, 0.17734798000656865], [0.1523887489702219, 0.1305285178962425, 0.11179525505297538, 0.10806329412852801, 0.12064813191090759, 0.1386431489119938, 0.07998210663994375, 0.20670691316754441], [0.24275067723879792, 0.23948976697889285, 0.23912773654669797, 0.2357761481451851, 0.23932825828465856, 0.24215647853400274, 0.23813016611296847, 0.24353354451841627]]",original
